content,is_english
I'm unable to go through the otp verification. It seems the app is taking unnecessary time and then saying the validity time expired.,True
Disgusting customer service,True
worst customer service ever,True
their service is worst.after two hours of order acceptance I called their wari outlet to check about my order.they said they got the order just 22 seconds ago.What a pity!! also said they can't deliver to my location although the app accepted my order on that location.they forcefully cancelled my order.,True
the app ui is really bad and it doesn't accept Bata coupons which was supposed to be used in this app and moreover it delivers to very few locations. overall not a good user experience,True
Useless,True
One of the most third class apps there is in the country! Food is also highly expensive comparing to other delicious pizza services! I'm never ordering a single slice from there ever again 👎,True
Why is this app not working anymore? It's always stuck and says please wait .. I can never enter the app . Please fix this,True
They serve the worst food. Total waste of money. They were showing the food was delivered almost 30mins before delivering the food.,True
Very bad experience 😕,True
Worst app ever. They don't even deliver in my place. Wonder if they even deliver food. This app should not exist if someone has to go to the store to eat their pizza.,True
Very bad dominoes is better option,True
Not good diarrhea inducing (also saw an ad saying a coupon for free small pizza didn't work),True
Fake marketing policy they fool people,True
Bad experience. Need to improve a lot.,True
Very poor pizza. Took too much time to deliver and got cold pizza. Dominos is far better than this. Waste of money and time.,True
Poor service. Not satisfied,True
No invoice sent in the email or shown in the app after making a order. Please try to follow your competitor's (Domino's) app atleast !!,True
So poor. They have no live tracking and i don't know when my order will be delivered by this app.,True
Third class User experience in this app,True
Very poor service. Ordered from the app and waited half an hour but no update. When I call ed the store they said their riders are o. Holiday and omno one is checking the online orders. Not recommend at all!!!,True
For some reason I have to put my address in every time I order. That's unfathomably annoying. Plus its unstability knows no bounds.,True
Very poor in service product with quality. Without opening outlate they start to apply boosting their apps on different social media to order food. But after install they told that there is only one outlet in savar. Not even in Dhaka. How funny.!!! Just ignor them. Let them open their outlet first. Then install it.,True
I'm never able to order from this app. Doesn't redirect me to the payment gateway.,True
Price is too much comparison to quality and quantity.,True
"It is showing wrong address, and is not allowing to correct it.",True
Too much price,True
The use interface is not to good for our user I think the app can be make a lot better.,True
"The app is just stuck with a blank white screen. Previous comment: They gave lame excuse about why they dont give home delivery option to certain places.. in my case, just the next block! Otherwise the experience was fast and good. Please show past orders and on-going orders and their online payment status. Other than the sms, there is no way to know about the orders. Also allow place to add order notes to say if we want our pizza without chilli or less cheese etc.",True
unable to detect my location,True
Unable to Find location 👎,True
Doesn't work,True
"Does not work, app unable to find my location, just loading and loading.. its a dumb app.. r u trying to lose business with this app ??",True
IT'S NOT GIVING ME ANY OTP,True
Most worst and stupid app if i order through app it never executive why I have a pending order no 127437 and payment already done,True
When I scroll up and down virtual menu the page moves slow. Must be the low framerate. Plus the overall interface or design could have been better.,True
Does nothing. Shows only one screen please wait!! :/,True
"Very poor app.Whenever I open the app, it always just buffers.Very poor quality.",True
High delivery charge,True
More than a week Pizza Hut🍇 Bangladesh app cannot be open🍇 in my mobile. Please my question to Pizza Hut🍇 Bangldesh app authority.......Why???🤔🤕🤔🤕,True
"It says it won't deliver to Eskaton Garden from the New Bailey Road branch ... what a pity ! I only installed the app to check how it is and I ended up finding out the fact, that they don't deliver, even to the areas closest to them. Had no choice but to uninstall this app.",True
🔥Email address is not working 🔥🤬🤬🤬😡,True
It does not work at all. I could never order.,True
This is the worst app ever.I still haven't got my order.,True
this app is verry dangares one your phone.. this app install your phone then click open one one now crash or damage your phone and leak your privacy.. to be install to your Risk..,True
App doesn't open 2nd time after installation,True
"Everytime I open the app, they tell me to update. New version available. Even after uninstalling and then installing the latest version, they still tell me to update. Please solve this issue.",True
Payment option not working. Tried many times but no use. Called the nearest Pizza Hut location they just gave lame excuses about network being down. Need major improvement with this app and service.,True
Very bad.. Need to improve..,True
This apps Just third class performance..,True
This app is disgusting. It doesn't have those deals which they shown on ads and they don't also provide pizza everywhere. Lame!!,True
I want to delete the app because it says they don’t deliver in my area through the app. but i haven’t found the delete option. kindly help me in this regard.,True
"This app has fatal bugs. I ordered online via this app and also paid online. Unfortunately i havenot received any pizza even almost 2 days gone! Fortunately i took screenshot of my order. You will not be able to see your ongoing order or order status in this app. After making contact with their outlet, they helped me. So, Be careful. Don't pay online via this app. Always order cash on delivery.",True
Fake representations of offers is not a good way of marketing.,True
I have ordered pizza at about 2 pm and now its 6pm..still i didnot get my pizza.even I am not being able to reach them... They have taken money yet no estimated delivery time and contact. Poor show.,True
F****. Can't login,True
Stupid service,True
You do not deliver to my place.,True
It says it doesn't deliver to my area though my area is just about 10 minutes away from its nearest sales point.,True
