content,is_english
i have been trying to open my account for so long but they keep saying i have to have my password '8-15' words but i am doing exactly that. its still not opening. so bad i am very disappointed,True
very bad app. there is 25% flat discount in a restaurant. but while ordering it is not applying it. there is no option of see the ratings and the reviews of others. 👎👎👎,True
I had 5 stars review given here till they refused to compensate for a wrong delivery with an excuse saying I got food that had 90 taka more price than the food I ordered and didn't care about the wrong delivery. Like I ordered food that I want to eat not something to resell so money is not everything here.,True
Not update location. Very bad app,True
"""foodi"" notification sound is so annoying. My humble request to remove the sound.",True
I don’t know what's the problem in this app. I can't enter the app & can't order food. I have no network problem but the app always has problem. please work on it,True
"can't open the app only stuck in the location interface, already have a order running but can't figure out what is happening, can't see any updates of my order 🙄",True
"worst food delivery app, always problem with location,",True
super fast,True
nice,True
First time discount is only 10%..!. food panda is best.,True
No voucher for new users. nothing fancy to be encourage and make the first order,True
LoL this stupid app cannot even calculate food price why did u even make this so clumsy🤣,True
"Took me only 1 order to uninstall this app, must be some kinda record! Just stick to the big boys, folks. This app is just a cheap rip-off of FoodPanda anyway, only with a lot more lagging. They've copied everything from FP, down to the minute UI details. But they couldn't copy the class that is customer service.",True
Very bad,True
good,True
service is super good.....,True
Foodi is the only Food delivery app I've used recently. the experience was Amazing!,True
Super fast,True
Disgusting experience. Availed 100tk off on EBL Card on Kacchi Dine full plate. But they delivered half plate with 2 piece mutton on a full plate box. Utterly disappointed.,True
"You order food from this platform, and items are missing when you get them. Universal Truth.",True
After the latest update (with the introduction of the home screen pop up offers) the app feels super slow and sluggish.,True
wow,True
cash on delivery option is not showing on my profile,True
good.,True
nice service,True
Super fast,True
"They can,t come in our house. they said us to come 1 km to took the parcel",True
"you have the worst customer service representative, Mr.shihab, Mr. Ansari, Mr. Miraj, Mr. bappy, your supervisor, all are useless. did not respond to my simple request after making several calls and taking to several representative. did not provide me refund...this is the worst service in my entire online foorld order. food panda and pathao are much better",True
cant use vouchers on the restaurant that offers a little discount,True
very poor service,True
Super fast,True
Third class application,True
love you,True
Nonsense,True
worst customer support,True
take too much time to load,True
Better than Foodpanda in my opinion!,True
supper,True
very bad customer support dont use,True
"Worst delivery service ever. My order came 30 mins late even though the restaurant was only 200 meters away. Riders are careless, support is useless. Save your time and money — avoid Foodi at all costs!",True
Best,True
"Never order from this app and if you order don't take the discount. They will give you Smell and spoilage food. Then if you eat those things, your body will get sick. So don't downlaod this app.",True
"Totally disappointed for there delivery service. if you have 2-3 hours time for receve the parcel, then its better option for you. only one impressive things is they can cover long area..",True
Their service is very bad and their policy is not good. Everyone should read the policy. They cannot solve any problem.,True
A very affordable and amazing food delivery app!,True
annoying notification sound.,True
totally worthless help center,True
Service is good,True
There delivery system is too slow. worst experience.,True
no option for deleting my account,True
Bad 😢 dissatisfied,True
Service is not available all over Dhaka. Even rider charge more than the selected charge 😑😑,True
"the payment option is currently not working. I tried logging on and order from a restaurant, but there was no cash on delivery option.",True
Although pretty good and cheap but there are lots of bugs in the app. like restaurants sometimes just disappear? not one but all of them. it just pisses me off. would give 4 stars if that problem was solved,True
good,True
The worst experience each time I order food through this platform. Every time they take more than an hour. Never order through them if you really need your food in time. 0% recommended .,True
